,0,1
1989,479,749
1990,840,502
1991,589,542
1992,829,1009
1993,1002,505
1994,817,461
1995,896,478
1996,686,523
1997,1015,630
1998,624,480
1999,761,471
2000,941,751
2001,942,755
2002,942,528
2003,1551,597
2004,476,756
2005,770,548
2006,841,504
2007,833,1015
2008,1004,506
2009,589,544
2010,897,479
2011,943,530
2012,818,460
2013,686,523
2014,624,481
2015,1017,631
2016,946,763
2017,1531,590
2018,472,761
2019,841,504
2020,585,546
2021,771,548
2022,835,1021
2023,623,484
2024,897,479
2025,818,460
2026,685,528
2027,1007,508
2028,1517,583
2029,1130,432
2030,951,770
2031,1018,633
2032,944,530
2033,841,506
2034,470,769
2035,770,551
2036,585,548
2037,622,485
2038,684,529
2039,897,480
2040,837,1029
2041,945,530
2042,818,461
2043,1012,513
2044,1497,576
2045,1020,634
2046,1124,430
2047,762,471
2048,1020,635
2049,954,778
2050,462,782
2051,842,509
2052,584,552
2053,771,555
2054,946,530
